id,k,z,stop_loss_pct,net_profit,final_equity,cagr_pct,max_dd_pct,sortino,total_trades,active_combos,skipped_trades,stop_loss_hits
k1_0_z0_10_stop10,1.0,0.1,10.0,10976.05,20976.05,7.69,7.07,2.02,12600,110,26,775
k1_0_z0_15_stop10,1.0,0.15,10.0,11486.73,21486.73,7.95,6.99,2.13,10934,96,26,775
k1_0_z0_20_stop10,1.0,0.2,10.0,11825.17,21825.17,8.12,7.18,2.16,9823,87,26,775
k1_0_z0_25_stop10,1.0,0.25,10.0,12435.7,22435.7,8.42,6.99,2.28,7970,73,30,775
k1_0_z0_30_stop10,1.0,0.3,10.0,13176.75,23176.75,8.77,6.8,2.46,6174,60,28,775
k1_0_z0_35_stop10,1.0,0.35,10.0,13417.77,23417.77,8.88,6.54,2.5,5503,55,27,775
k1_0_z0_40_stop10,1.0,0.4,10.0,13598.47,23598.47,8.97,6.45,2.53,5149,52,28,775
k1_5_z0_10_stop10,1.5,0.1,10.0,12488.51,22488.51,8.44,7.06,2.45,12599,110,27,775
k1_5_z0_15_stop10,1.5,0.15,10.0,13252.08,23252.08,8.81,7.56,2.58,10935,96,25,775
k1_5_z0_20_stop10,1.5,0.2,10.0,13896.24,23896.24,9.1,7.65,2.65,9816,87,33,775
k1_5_z0_25_stop10,1.5,0.25,10.0,15121.59,25121.59,9.65,6.77,2.89,7964,73,36,775
k1_5_z0_30_stop10,1.5,0.3,10.0,15775.14,25775.14,9.93,6.61,3.08,6171,60,31,775
k1_5_z0_35_stop10,1.5,0.35,10.0,15764.49,25764.49,9.93,6.11,3.05,5499,55,31,775
k1_5_z0_40_stop10,1.5,0.4,10.0,16495.89,26495.89,10.24,6.21,3.21,5147,52,30,775
k2_0_z0_10_stop10,2.0,0.1,10.0,14081.64,24081.64,9.19,8.05,2.77,12587,110,39,775
k2_0_z0_15_stop10,2.0,0.15,10.0,14958.69,24958.69,9.58,8.15,2.87,10911,96,49,775
k2_0_z0_20_stop10,2.0,0.2,10.0,15856.53,25856.53,9.97,8.51,2.93,9793,87,56,775
k2_0_z0_25_stop10,2.0,0.25,10.0,16814.57,26814.57,10.37,7.91,3.1,7955,73,45,775
k2_0_z0_30_stop10,2.0,0.3,10.0,18351.95,28351.95,10.99,7.44,3.5,6137,60,65,775
k2_0_z0_35_stop10,2.0,0.35,10.0,18915.17,28915.17,11.2,7.03,3.57,5470,55,60,775
k2_0_z0_40_stop10,2.0,0.4,10.0,19383.44,29383.44,11.38,6.69,3.65,5124,52,53,775
k2_5_z0_10_stop10,2.5,0.1,10.0,15345.81,25345.81,9.75,8.57,2.84,12374,110,252,775
k2_5_z0_15_stop10,2.5,0.15,10.0,16130.82,26130.82,10.08,8.3,2.92,10602,96,358,775
k2_5_z0_20_stop10,2.5,0.2,10.0,17293.28,27293.28,10.56,8.47,3.0,9483,87,366,775
k2_5_z0_25_stop10,2.5,0.25,10.0,18596.94,28596.94,11.08,7.89,3.14,7733,73,267,775
k2_5_z0_30_stop10,2.5,0.3,10.0,20039.15,30039.15,11.63,7.53,3.5,5876,60,326,775
k2_5_z0_35_stop10,2.5,0.35,10.0,20867.7,30867.7,11.93,6.82,3.59,5224,55,306,775
k2_5_z0_40_stop10,2.5,0.4,10.0,20657.21,30657.21,11.86,7.15,3.54,4892,52,285,775
k3_0_z0_10_stop10,3.0,0.1,10.0,16792.62,26792.62,10.36,10.24,3.04,11830,110,796,775
k3_0_z0_15_stop10,3.0,0.15,10.0,17822.82,27822.82,10.78,9.14,3.08,10030,96,930,775
k3_0_z0_20_stop10,3.0,0.2,10.0,18897.69,28897.69,11.2,8.39,3.07,8920,87,929,775
k3_0_z0_25_stop10,3.0,0.25,10.0,20896.89,30896.89,11.94,8.19,3.18,7301,73,699,775
k3_0_z0_30_stop10,3.0,0.3,10.0,22357.61,32357.61,12.46,7.34,3.52,5468,60,734,775
